Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
single,86.2,19,244,Opposite,92.7,4-Seam Fastball
field_out,84.5,-13,7,Pull,82.7,Curveball
field_out,87.1,48,268,Straightaway,83.8,Curveball
field_out,38.1,-66,1,Opposite,91.9,4-Seam Fastball
single,97,2,61,Opposite,96.1,4-Seam Fastball
field_out,82.4,1,52,Straightaway,86.2,Changeup
single,81,2,43,Straightaway,96.3,2-Seam Fastball
single,103.7,15,244,Straightaway,84.6,Changeup
field_out,82.9,1,45,Straightaway,86.4,Changeup
field_out,72.5,4,66,Opposite,93.3,Sinker
field_out,83.9,-9,16,Straightaway,96.8,Sinker
field_out,83.5,27,303,Straightaway,93.3,2-Seam Fastball
single,77.4,27,263,Opposite,89.3,4-Seam Fastball
field_out,76.7,-11,8,Pull,76.9,Curveball
